drain_rate,entry_threshold,exit_threshold,video_bitrate,window_size,score,avg_streaming,avg_fp,working_packets_01,working_packets_02,working_packets_03,youtube_packets_03,youtube_packets_02,youtube_packets_01,insta_packets_01,insta_packets_02
0.8,5.0,0.0,400000,5,29.69898091889057,48.411713066411764,9.356366073760597,20.944452999152105,7.124645222129688,0.0,37.99857375042462,39.34371679380138,33.7260333588631,66.8459258630211,64.14431556594863
0.6,20.0,0.0,560000,5,29.17059512487836,38.79271775383337,4.811061314477507,12.455594951049115,1.9775889923834042,0.0,23.861531841407544,33.63403254904227,31.722904247226552,52.02805325924296,52.71706687224756
0.6,15.0,0.0,560000,5,29.167639818876083,40.009658717834775,5.421009449479346,14.285439356054635,1.9775889923834042,0.0,27.589790041695956,35.99047916876085,31.722904247226552,52.02805325924296,52.71706687224756
0.7,5.0,0.0,400000,5,28.831804674323553,50.48986318481249,10.82902925524447,24.695260130396985,7.79182763533642,0.0,39.06455852481358,40.77319258810621,38.49910935721776,68.91655284268455,65.19590261124037
0.5,5.0,0.0,750000,5,28.35350049620888,41.28139552728025,6.463947515535687,14.539214971255277,4.852627575351785,0.0,32.2131575107213,29.264157086738795,33.06535645349795,58.25070773746226,53.61359884798096
0.4,15.0,0.0,750000,5,28.30700193805741,39.22643353190715,5.459715796924869,14.401558398391206,1.9775889923834042,0.0,25.61729601863478,34.04684726218387,31.722904247226552,52.02805325924296,52.71706687224756
0.8,20.0,0.0,400000,5,28.260182194013964,40.39375002044167,6.066783913213855,16.222762747258162,1.9775889923834042,0.0,27.589790041695956,36.340997046902416,32.39631090638607,52.02805325924296,53.61359884798096
0.6,10.0,0.0,560000,5,28.128755203435887,40.7902732188479,6.330759007706006,15.09137039569097,3.900906627427049,0.0,28.508137047768113,36.73622048574953,33.06535645349795,52.02805325924296,53.61359884798096
0.8,10.0,0.0,400000,5,28.053538423468503,43.54105475555026,7.743758166040881,17.729164086259953,5.502110411862691,0.0,35.32586221475438,37.449748524055764,33.06535645349795,58.25070773746226,53.61359884798096
0.6,5.0,0.0,560000,5,27.930800391598858,43.87725966940889,7.973229638905017,17.11069534730464,6.808993569410407,0.0,37.00688678404752,37.449748524055764,33.06535645349795,58.25070773746226,53.61359884798096
0.7,5.0,0.0,560000,5,27.684368971600584,40.57334025521568,6.44448564180755,14.480829350070865,4.852627575351785,0.0,35.32586221475438,28.475217534471962,33.06535645349795,58.25070773746226,47.749557335891865
0.8,15.0,0.0,400000,5,27.20934981162634,40.7902732188479,6.790461703610781,16.470478483405294,3.900906627427049,0.0,28.508137047768113,36.73622048574953,33.06535645349795,52.02805325924296,53.61359884798096
0.5,20.0,0.0,560000,5,27.158909300952892,39.22643353190715,6.033762115477127,16.123697354047977,1.9775889923834042,0.0,25.61729601863478,34.04684726218387,31.722904247226552,52.02805325924296,52.71706687224756
0.4,5.0,0.0,750000,5,27.10333980643953,43.70877812937484,8.302719161467657,19.05665879464673,5.851498689756239,0.0,36.164479083877296,37.449748524055764,33.06535645349795,58.25070773746226,53.61359884798096
0.5,10.0,0.0,750000,5,26.989807098547928,36.79376495526115,4.9019789283566135,12.728347792686437,1.9775889923834042,0.0,27.589790041695956,19.911010355892735,31.722904247226552,52.02805325924296,52.71706687224756
0.7,10.0,0.0,400000,5,26.961126035129322,44.207564095996474,8.623219030433576,20.01815840154449,5.851498689756239,0.0,36.164479083877296,38.9975657250718,33.06535645349795,58.25070773746226,54.55971148007309
0.5,15.0,0.0,560000,5,26.73418598382427,40.39375002044167,6.829782018308702,18.511757062542703,1.9775889923834042,0.0,27.589790041695956,36.340997046902416,32.39631090638607,52.02805325924296,53.61359884798096
0.4,20.0,0.0,750000,5,26.601548009307876,37.13571940706149,5.267085698876805,14.154369889815058,1.6468872068153566,0.0,17.79740337209382,33.63403254904227,31.035768911521572,50.494325330402226,52.71706687224756
0.7,20.0,0.0,400000,5,26.524008816982388,40.39375002044167,6.934870601729643,18.511757062542703,2.2928547426462274,0.0,27.589790041695956,36.340997046902416,32.39631090638607,52.02805325924296,53.61359884798096
0.7,15.0,0.0,400000,5,26.44650326283074,41.78634839883769,7.669922568003476,18.75947279868983,4.250294905320598,0.0,30.382802053682585,36.73622048574953,33.06535645349795,55.13376415327744,53.61359884798096
0.5,10.0,0.0,560000,5,26.37346671488438,42.22259542634909,7.924564355732353,19.52339816187646,4.250294905320598,0.0,32.2131575107213,37.08710016626776,33.06535645349795,55.13376415327744,53.61359884798096
0.4,10.0,0.0,750000,5,26.36714134563732,40.39375002044167,7.013304337402176,16.789618106885932,4.250294905320598,0.0,27.589790041695956,36.340997046902416,32.39631090638607,52.02805325924296,53.61359884798096
0.5,5.0,0.0,560000,5,26.362443632287018,45.409527222713635,9.523541795213308,20.778797750303504,7.79182763533642,0.0,37.00688678404752,38.9975657250718,33.06535645349795,58.25070773746226,59.72711941348866
0.4,5.0,0.0,560000,5,25.616592778825957,50.2169142177842,12.300160719479122,26.854625029994462,10.045857128442902,0.0,39.06455852481358,40.405719045658074,37.838432451852604,67.60338579295802,66.17247527363874
0.6,15.0,0.0,400000,5,25.573283686454207,43.03435889357412,8.730537603559958,21.625925556427617,4.565687254252252,0.0,35.32586221475438,37.08710016626776,33.06535645349795,55.13376415327744,54.55971148007309
0.3,15.0,0.0,750000,5,25.459020085942825,40.18896511298146,7.364972513519316,20.117328548174545,1.9775889923834042,0.0,27.589790041695956,35.99047916876085,31.722904247226552,52.02805325924296,53.61359884798096
0.4,20.0,0.0,560000,5,25.459020085942825,40.18896511298146,7.364972513519316,20.117328548174545,1.9775889923834042,0.0,27.589790041695956,35.99047916876085,31.722904247226552,52.02805325924296,53.61359884798096
0.7,10.0,0.0,560000,5,25.336876469773415,36.36169736379048,5.512410447008535,12.963311196511992,3.573920144513614,0.0,27.589790041695956,22.289933342951844,33.06535645349795,52.02805325924296,46.83535372156369
0.8,5.0,0.0,560000,5,25.29750626057522,37.06713322009672,5.8848134797607505,12.801812863930467,4.852627575351785,0.0,32.2131575107213,18.936611527951012,33.06535645349795,58.25070773746226,42.86983287085109
0.6,5.0,0.0,400000,5,24.91917529060642,51.57687185999873,13.328848284696155,29.614232315019674,10.372312539068787,0.0,39.06455852481358,41.12180584998881,38.49910935721776,73.02641029433478,66.17247527363874
0.6,20.0,0.0,400000,5,24.875754400807715,40.65646410942553,7.890354854308906,21.37820982028049,2.2928547426462274,0.0,28.508137047768113,36.73622048574953,32.39631090638607,52.02805325924296,53.61359884798096
0.3,20.0,0.0,750000,5,24.56519988904681,38.90988471998931,7.17234241547125,19.870140039598393,1.6468872068153566,0.0,24.72168729475057,34.04684726218387,31.035768911521572,52.02805325924296,52.71706687224756
0.3,5.0,0.0,750000,5,24.41684359238894,47.34633447735574,11.4647454424834,25.020492161364484,9.37374416608572,0.0,36.164479083877296,38.9975657250718,37.14644456672862,58.25070773746226,66.17247527363874
0.7,15.0,0.0,560000,5,24.28608017451314,33.709392940685845,4.711656383086354,12.157380156875657,1.9775889923834042,0.0,24.72168729475057,17.226965381400813,31.722904247226552,52.02805325924296,42.84735452080832
0.6,5.0,0.0,750000,5,24.151060718447972,35.365800826715486,5.607370054133757,12.289230849304095,4.53287931309718,0.0,32.2131575107213,16.652604039264105,33.06535645349795,52.02805325924296,42.86983287085109
0.4,15.0,0.0,560000,5,24.124302109881864,40.65646410942553,8.266080999771832,22.505388256669267,2.2928547426462274,0.0,28.508137047768113,36.73622048574953,32.39631090638607,52.02805325924296,53.61359884798096
0.5,15.0,0.0,400000,5,24.04637510140719,44.767325487578745,10.360475193085778,26.193433159949254,4.88799241930808,0.0,35.32586221475438,38.9975657250718,33.06535645349795,56.720723631080936,59.72711941348866
0.5,15.0,0.0,750000,5,23.949402361460763,32.489478298835266,4.2700379686872525,11.1632266992464,1.6468872068153566,0.0,17.79740337209382,8.869099079070402,31.035768911521572,52.02805325924296,52.71706687224756
